place_number;booking_weezpay_account;stall_name;drink_categories;food_types
198.01;2316-002;L'Epis Taff;minérales, vins, bières, liquoreux, cocktails;Tartares
648.18;2288-003;Stand de Marc Schneider;minérales;Gaufre
792.01;2146-002;Stand de Nguyen Thanh-Lam;minérales, bières;Spécialités Asiatiques
045.22;2072-002;Wok Viet Thaï;;Spécialités Asiatiques
657.09;2111-002;Attitude Concept Store Sàrl;minérales, vins, bières, cocktails;
387.15;2065-002;Stand de Laurent Boschung;;Confiserie, Crêpes, Sandwich
744.06;2335-003;Stand Argentine;minérales, bières;Spécialités Amérique latine
648.25;2102-002;Stand de Souady Abdelali;minérales, bières, liquoreux, cocktails;
384.18;2181-002;Neuchâtel Sport Rugby Club;minérales, vins, bières, liquoreux, cocktails;
198.09;2029-002;Gaberel;minérales, vins, bières, cocktails;Steak vigneron, Tartares
303.01;2385-002;Stand de FLORIDITA;minérales, vins, bières;
780.06;2142-002;Association des Vieux Scouts;minérales, vins, bières, liquoreux, cocktails;Croques-monsieur, planchettes neuchâteloises
378.01;2163-002;Stand de Bacouet Elian;minérales, vins, bières, liquoreux;Burgers, Fondue au fromage, Grillades, Raclette, Steak vigneron
387.16;2166-002;Stand de Bianchi Giuseppe;minérales, vins, bières, liquoreux, cocktails;
387.18;2166-003;Stand Bianchi Giuseppe;minérales, vins, bières, liquoreux, cocktails;Burgers, Grillades, Sandwich, Steak vigneron
744.04;2125-003;Stand de Tran Ha;;Spécialités Asiatiques
726.23;2275-002;POULET SECRET;;Burgers, POULET FRITE
537.32;2350-002;Stand de Jérémy Billieux;minérales, vins, bières, liquoreux, cocktails;Planchettes (saucisse sèche NE, tome NE, oignons, cornichons, pain NE)
516.02;2218-002;Terrasse du Cardinal;;
648.20;2243-002;Milan swiss;;bonbons,barbe à papa
657.11;2243-003;MILAN SWISS CHURROS;;Churros
744.22;2298-002;Vert'libéraux neuchâtelois;minérales, vins, bières, liquoreux, ABSINTHE;
444.01;2067-002;Stand de Bersac Gregory;vins, bières;
537.15;2459-002;Stand de droguistes.fdv2023;minérales, vins, bières, liquoreux, cocktails;
384.04;2286-002;Stand de Neuch Cycling friends;minérales, vins, bières, liquoreux, cocktails;Planchette
045.20;2263-002;Stand de Liqueur Beirão;liquoreux, cocktails;
537.14;2303-002;Stand de Gregory Jacquot;;Churros, hot dog
384.05;2177-002;Jean-Marc Gueguen;minérales, vins, bières, liquoreux, cocktails;
648.23;2098-002;Stand DELICIOUS AVENUE;;Churros, Crêpes, gaufres
276.08;2044-002;Stand de Kha Hai;minérales;Spécialités Asiatiques
732.10;2119-002;La Jeunesse Rurale Neuchâteloise;minérales, vins, bières, liquoreux, cocktails;
648.08;2090-002;Délice Kebab;;Kebab, frites, hot dog, falafel
